,date,ratio (t-3),negatives (t-3),negatives (t-4),negatives (t-6),negatives (t-1),positives (t-3),label
0,2019-05-03,0.4444444444444444,15.0,22.0,0.0,26.0,12.0,1
1,2019-05-02,0.3333333333333333,22.0,0.0,65.0,32.0,11.0,1
2,2019-05-01,0.0,0.0,0.0,87.0,15.0,0.0,0
3,2019-04-30,0.0,0.0,65.0,59.0,22.0,0.0,0
4,2019-04-29,0.3627450980392157,65.0,87.0,16.0,0.0,37.0,1
5,2019-04-26,0.5,16.0,22.0,0.0,87.0,16.0,0
6,2019-04-25,0.37142857142857133,22.0,0.0,0.0,59.0,13.0,0
7,2019-04-24,0.0,0.0,0.0,5.0,16.0,0.0,0
8,2019-04-23,0.0,0.0,0.0,3.0,22.0,0.0,1
9,2019-04-22,0.0,0.0,5.0,11.0,0.0,0.0,0
10,2019-04-18,0.2608695652173913,17.0,0.0,12.0,3.0,6.0,1
11,2019-04-17,0.0,0.0,0.0,18.0,11.0,0.0,0
12,2019-04-16,0.0,0.0,12.0,7.0,17.0,0.0,1
13,2019-04-15,0.42857142857142855,12.0,18.0,16.0,0.0,9.0,0
14,2019-04-12,0.4482758620689655,16.0,6.0,0.0,18.0,13.0,0
15,2019-04-11,0.5,6.0,0.0,12.0,7.0,6.0,0
16,2019-04-10,0.0,0.0,0.0,31.0,16.0,0.0,1
17,2019-04-09,0.0,0.0,12.0,15.0,6.0,0.0,0
18,2019-04-08,0.6363636363636364,12.0,31.0,5.0,0.0,21.0,0
19,2019-04-05,0.5454545454545454,5.0,10.0,0.0,31.0,6.0,1
20,2019-04-04,0.4444444444444444,10.0,0.0,11.0,15.0,8.0,0
21,2019-04-03,0.0,0.0,0.0,12.0,5.0,0.0,1
22,2019-04-02,0.0,0.0,11.0,11.0,10.0,0.0,0
23,2019-04-01,0.5416666666666666,11.0,12.0,14.0,0.0,13.0,1
24,2019-03-29,0.3636363636363637,14.0,15.0,0.0,12.0,8.0,1
25,2019-03-28,0.4,15.0,0.0,8.0,11.0,10.0,1
26,2019-03-27,0.0,0.0,0.0,14.0,14.0,0.0,1
27,2019-03-26,0.0,0.0,8.0,14.0,15.0,0.0,1
28,2019-03-25,0.5789473684210527,8.0,14.0,24.0,0.0,11.0,0
29,2019-03-22,0.25,24.0,16.0,0.0,14.0,8.0,0
30,2019-03-21,0.4074074074074074,16.0,0.0,24.0,14.0,11.0,1
31,2019-03-20,0.0,0.0,0.0,12.0,24.0,0.0,1
32,2019-03-19,0.0,0.0,24.0,12.0,16.0,0.0,0
33,2019-03-18,0.4666666666666667,24.0,12.0,15.0,0.0,21.0,0
34,2019-03-15,0.3478260869565217,15.0,13.0,0.0,12.0,8.0,0
35,2019-03-14,0.5357142857142857,13.0,0.0,12.0,12.0,15.0,1
36,2019-03-13,0.0,0.0,0.0,19.0,15.0,0.0,1
37,2019-03-12,0.0,0.0,12.0,25.0,13.0,0.0,0
38,2019-03-11,0.5384615384615384,12.0,19.0,61.0,0.0,14.0,1
39,2019-03-08,0.4019607843137255,61.0,32.0,0.0,19.0,41.0,1
40,2019-03-07,0.43859649122807015,32.0,0.0,27.0,25.0,25.0,1
41,2019-03-06,0.0,0.0,0.0,34.0,61.0,0.0,0
42,2019-03-05,0.0,0.0,27.0,17.0,32.0,0.0,0
43,2019-03-04,0.490566037735849,27.0,34.0,17.0,0.0,26.0,0
44,2019-03-01,0.5,17.0,5.0,0.0,34.0,17.0,0
45,2019-02-28,0.6153846153846154,5.0,0.0,5.0,17.0,8.0,1
46,2019-02-27,0.0,0.0,0.0,16.0,17.0,0.0,1
47,2019-02-26,0.0,0.0,5.0,12.0,5.0,0.0,0
48,2019-02-25,0.5454545454545454,5.0,16.0,4.0,0.0,6.0,1
49,2019-02-22,0.3333333333333333,4.0,0.0,0.0,16.0,2.0,1
50,2019-02-21,0.0,0.0,0.0,1.0,12.0,0.0,0
51,2019-02-20,0.0,0.0,0.0,7.0,4.0,0.0,0
52,2019-02-19,0.0,0.0,1.0,8.0,0.0,0.0,0
53,2019-02-15,1.0,0.0,2.0,0.0,7.0,4.0,1
54,2019-02-14,0.5,2.0,0.0,16.0,8.0,2.0,0
55,2019-02-13,0.0,0.0,0.0,7.0,0.0,0.0,0
56,2019-02-12,0.0,0.0,16.0,6.0,2.0,0.0,0
57,2019-02-11,0.2,16.0,7.0,2.0,0.0,4.0,1
58,2019-02-08,0.7142857142857143,2.0,7.0,0.0,7.0,5.0,0
59,2019-02-07,0.5625,7.0,0.0,10.0,6.0,9.0,0
60,2019-02-06,0.0,0.0,0.0,18.0,2.0,0.0,0
61,2019-02-05,0.0,0.0,10.0,26.0,7.0,0.0,1
62,2019-02-04,0.3333333333333333,10.0,18.0,5.0,0.0,5.0,1
63,2019-02-01,0.16666666666666666,5.0,7.0,0.0,18.0,1.0,1
64,2019-01-31,0.5333333333333333,7.0,0.0,5.0,26.0,8.0,0
65,2019-01-30,0.0,0.0,0.0,6.0,5.0,0.0,1
66,2019-01-29,0.0,0.0,5.0,29.0,7.0,0.0,1
67,2019-01-28,0.375,5.0,6.0,10.0,0.0,3.0,0
68,2019-01-25,0.2857142857142857,10.0,0.0,0.0,6.0,4.0,1
69,2019-01-24,0.0,0.0,0.0,33.0,29.0,0.0,1
70,2019-01-23,0.0,0.0,0.0,2.0,10.0,0.0,0
71,2019-01-22,0.0,0.0,33.0,1.0,0.0,0.0,0
72,2019-01-18,0.0,2.0,1.0,0.0,2.0,0.0,0
73,2019-01-17,0.75,1.0,0.0,0.0,1.0,3.0,1
74,2019-01-16,0.0,0.0,0.0,3.0,2.0,0.0,1
75,2019-01-15,0.0,0.0,0.0,0.0,1.0,0.0,1
76,2019-01-14,1.0,0.0,3.0,4.0,0.0,1.0,0
77,2019-01-11,0.42857142857142855,4.0,2.0,0.0,3.0,3.0,1
78,2019-01-10,0.0,2.0,0.0,1.0,0.0,0.0,1
79,2019-01-09,0.0,0.0,0.0,4.0,4.0,0.0,1
80,2019-01-08,0.0,0.0,1.0,9.0,2.0,0.0,1
81,2019-01-07,0.75,1.0,4.0,0.0,0.0,3.0,1
